__run_id,__done,algorithm,arena,map_resolution,linear_update,angular_update,repetition,avg_cpu,avg_mem,energy,rosbag_msg_count,rosbag_msg_size
run_1,DONE,hector,point_to_point,0.1,1.0,0.0174,1,27.367199651109242,780349040.7509025,811694.5559193749,40713,3283512
run_2,DONE,gmapping,point_to_point,0.1,0.2,0.0174,1,39.16658247923363,650098818.8774943,836503.3531068144,43282,3489688
run_3,DONE,cartographer,point_to_point,0.1,1.0,0.0174,1,44.67623839800569,686482165.1145573,822121.3909894369,67732,4970488
run_4,DONE,hector,point_to_point,0.05,0.2,0.9,1,29.950241946129815,775278520.0305576,809836.0389686603,39376,3176440
run_5,DONE,cartographer,point_to_point,0.05,1.0,0.9,1,43.68500796536412,687999162.9413564,812694.8455317253,67045,4921248
run_6,DONE,hector,point_to_point,0.05,1.0,0.9,1,29.032642548071905,777044316.053886,799364.8132670401,39475,3184992
run_7,DONE,karto,circular,0.1,1.0,0.0174,1,31.527507882324436,654285183.4864022,925221.9016679324,44027,3540752
run_8,DONE,cartographer,point_to_point,0.05,0.2,0.0174,1,49.58635908993458,687764119.043873,804621.7464145711,61278,4457808
run_9,DONE,gmapping,circular,0.05,0.2,0.0174,1,57.375614404834074,661319508.7759634,907207.3755394123,33993,2724440
run_10,DONE,gmapping,circular,0.05,0.2,0.0174,2,57.69057685646657,665582483.9531046,903712.9168468957,33937,2720152
run_11,DONE,karto,point_to_point,0.05,0.2,0.9,1,32.05339244504518,651064186.7503798,802838.1958906074,37752,3043656
run_12,DONE,cartographer,point_to_point,0.1,1.0,0.0174,2,45.5354961426798,688743414.7655311,815456.9484449447,63412,4624096
run_13,DONE,cartographer,point_to_point,0.1,1.0,0.0174,3,47.531620034004526,689053719.6228687,813051.0347805975,62672,4568368
run_14,DONE,cartographer,point_to_point,0.1,1.0,0.9,1,45.93715032529831,688105768.96,818735.5882076591,65888,4833920
run_15,DONE,karto,point_to_point,0.05,1.0,0.0174,1,34.66077739897972,645148248.889798,789650.1383638416,34553,2775120
run_16,DONE,karto,circular,0.05,1.0,0.9,1,31.74300979418739,645675586.4427481,927179.9781699913,44952,3624064
run_17,DONE,gmapping,point_to_point,0.05,0.2,0.9,1,44.14075174050111,653136635.8011607,797477.7481047832,33363,2682264
run_18,DONE,karto,circular,0.05,1.0,0.9,2,29.74806759083128,647476140.751666,927999.2037602992,44618,3597312
run_19,DONE,karto,circular,0.05,0.2,0.9,1,28.27732744684198,648380322.9505568,928361.678652002,46061,3713400
run_20,DONE,cartographer,circular,0.1,1.0,0.0174,1,46.025433453571445,687964766.0589255,953977.3638774626,77233,5652800
run_21,DONE,hector,circular,0.05,0.2,0.0174,1,28.87705833072603,778619663.8362261,933231.5557445426,46132,3720896
run_22,DONE,karto,point_to_point,0.05,1.0,0.9,1,29.644588471912755,651601155.1219512,813906.3070922953,39230,3164760
run_23,DONE,hector,circular,0.05,1.0,0.9,1,31.470735371060947,778859299.8711923,932440.5250078519,46216,3727696
run_24,DONE,cartographer,circular,0.05,1.0,0.0174,1,45.401451412413266,690274937.4294996,954409.7120857468,77917,5714576
run_25,DONE,cartographer,circular,0.05,0.2,0.9,1,44.97696004819922,687938283.5978284,945966.9119286257,74940,5481816
run_26,DONE,gmapping,point_to_point,0.1,1.0,0.9,1,33.33722665152269,653078487.956779,798729.6301615135,37408,3015536
run_27,DONE,cartographer,circular,0.1,1.0,0.9,1,45.796811590794626,688155691.0924078,948951.9423479346,76908,5639416
run_28,DONE,karto,circular,0.1,0.2,0.0174,1,32.272539495600775,656571440.4585648,925143.8668530785,44166,3551648
run_29,DONE,cartographer,point_to_point,0.05,1.0,0.0174,1,48.063760903663464,690643557.4657881,812992.4910571935,63735,4663888
run_30,DONE,karto,point_to_point,0.1,1.0,0.9,1,31.76595309215705,653018600.5137615,797482.4884431252,39143,3157448
run_31,DONE,cartographer,circular,0.1,0.2,0.9,1,42.41567930976072,690669670.5567461,948246.1730822591,77799,5704472
run_32,DONE,cartographer,circular,0.05,1.0,0.9,1,42.44985808337238,690686941.7247866,948397.6291489131,77356,5673312
run_33,DONE,hector,circular,0.1,1.0,0.9,1,28.83981089021837,779506388.0171132,935172.3506093927,46132,3721328
run_34,DONE,gmapping,circular,0.1,0.2,0.0174,1,44.0339663065669,656246395.501419,968350.4249615051,47327,3813872
run_35,DONE,karto,circular,0.05,1.0,0.0174,1,29.337424771803295,657082471.7482705,935576.1357688763,45983,3700680
run_36,DONE,gmapping,circular,0.1,1.0,0.0174,1,43.76875261089659,656121619.3144352,969756.4485285676,47116,3796584
run_37,DONE,hector,point_to_point,0.05,1.0,0.0174,1,28.51810925035118,784718603.7382792,808701.7360493055,40007,3228024
run_38,DONE,cartographer,circular,0.1,0.2,0.0174,1,45.90675495929805,692678990.3130548,956382.950867659,78178,5732712
run_39,DONE,cartographer,point_to_point,0.05,1.0,0.0174,2,44.975624650627466,691373767.992008,827080.9319767805,67119,4926560
run_40,DONE,gmapping,circular,0.05,1.0,0.0174,1,43.39807894552048,657192422.1820563,966499.925321239,47490,3826640
run_41,DONE,karto,circular,0.1,0.2,0.9,1,27.18892687935892,650563725.5625284,921365.1404859772,45459,3663800
run_42,DONE,gmapping,circular,0.05,1.0,0.9,1,30.81615320246824,656406734.4225352,934937.2419667172,45947,3703912
run_43,DONE,gmapping,point_to_point,0.05,1.0,0.0174,1,55.44497439813614,656405376.0,787602.696506986,30036,2410496
run_44,DONE,karto,circular,0.05,0.2,0.0174,1,32.973724213640544,653647062.5841477,937286.1241965975,46133,3711368
run_45,DONE,hector,circular,0.05,0.2,0.9,1,29.566154180032825,778856450.2490666,933847.8733170864,46897,3784528
run_46,DONE,gmapping,point_to_point,0.1,0.2,0.0174,2,40.35880867511801,651752631.5032811,843775.7515657672,43125,3474808
run_47,DONE,karto,point_to_point,0.1,0.2,0.0174,1,28.23551124931451,652506282.2731233,810086.1525921291,40479,3258040
run_48,DONE,gmapping,point_to_point,0.1,0.2,0.9,1,33.06547017044438,652284679.5065722,819192.8688122341,41227,3324240
run_49,DONE,cartographer,circular,0.05,0.2,0.0174,1,44.23875325312989,690435961.6540377,958946.6857878509,79866,5866560
run_50,DONE,karto,circular,0.05,0.2,0.0174,2,29.360088461143537,654414615.1390055,939264.4247980482,46782,3763784
