__run_id,__done,algorithm,arena,map_resolution,linear_update,angular_update,repetition,avg_cpu,avg_mem,energy,rosbag_msg_size,mean_of_known_cells,amount_of_known_cells,amount_above_mean,proportion_occupied,enclosed_area_count,corner_count
run_1,DONE,hector,point_to_point,0.1,1.0,0.0174,1,27.36719965110924,780349040.7509025,811694.5559193748,3283512,71.62054507337527,954,269,28.197064989517816,1,30
run_2,DONE,gmapping,point_to_point,0.1,0.2,0.0174,1,39.16658247923363,650098818.8774942,836503.3531068143,3489688,69.61481481481482,945,259,27.40740740740741,2,33
run_3,DONE,cartographer,point_to_point,0.1,1.0,0.0174,1,44.67623839800569,686482165.1145573,822121.3909894369,4970488,77.26107899807322,1038,407,39.21001926782274,1,28
run_4,DONE,hector,point_to_point,0.05,0.2,0.9,1,29.950241946129808,775278520.0305576,809836.0389686603,3176440,43.22008608321377,3485,593,17.015781922525107,3,52
run_5,DONE,cartographer,point_to_point,0.05,1.0,0.9,1,43.685007965364115,687999162.9413563,812694.8455317253,4921248,120.31719338938822,3449,799,23.16613511162656,4,77
run_6,DONE,hector,point_to_point,0.05,1.0,0.9,1,29.032642548071905,777044316.053886,799364.8132670402,3184992,39.965807012460154,3451,543,15.734569689944944,3,69
run_7,DONE,karto,circular,0.1,1.0,0.0174,1,31.527507882324443,654285183.4864023,925221.9016679324,3540752,74.79567307692308,832,245,29.447115384615387,3,48
run_8,DONE,cartographer,point_to_point,0.05,0.2,0.0174,1,49.586359089934575,687764119.0438731,804621.7464145711,4457808,49.88518614944025,3841,1044,27.18042176516532,1,39
run_9,DONE,gmapping,circular,0.05,0.2,0.0174,1,57.37561440483408,661319508.7759634,907207.3755394124,2724440,45.62445141065831,3190,573,17.962382445141063,21,84
run_10,DONE,gmapping,circular,0.05,0.2,0.0174,2,57.69057685646657,665582483.9531046,903712.9168468956,2720152,44.145892800507454,3153,548,17.3802727561053,7,63
run_11,DONE,karto,point_to_point,0.05,0.2,0.9,1,32.05339244504518,651064186.7503798,802838.1958906073,3043656,42.41836441893831,3485,582,16.700143472022955,1,27
run_12,DONE,cartographer,point_to_point,0.1,1.0,0.0174,2,45.5354961426798,688743414.7655312,815456.9484449447,4624096,75.61392405063292,1106,457,41.32007233273056,1,35
run_13,DONE,cartographer,point_to_point,0.1,1.0,0.0174,3,47.53162003400453,689053719.6228688,813051.0347805975,4568368,74.21428571428571,1050,406,38.666666666666664,1,27
run_14,DONE,cartographer,point_to_point,0.1,1.0,0.9,1,45.93715032529831,688105768.96,818735.5882076591,4833920,124.28251121076234,892,242,27.130044843049326,1,35
run_15,DONE,karto,point_to_point,0.05,1.0,0.0174,1,34.66077739897972,645148248.889798,789650.1383638416,2775120,44.62453952961179,3529,620,17.568716350240862,4,46
run_16,DONE,karto,circular,0.05,1.0,0.9,1,31.743009794187387,645675586.4427482,927179.9781699913,3624064,38.17635270541082,2994,450,15.030060120240481,3,52
run_17,DONE,gmapping,point_to_point,0.05,0.2,0.9,1,44.14075174050111,653136635.8011607,797477.7481047831,2682264,45.00364451920381,3567,632,17.717970283151107,11,60
run_18,DONE,karto,circular,0.05,1.0,0.9,2,29.74806759083128,647476140.7516661,927999.2037602992,3597312,38.744325767690256,2996,457,15.253671562082777,3,41
run_19,DONE,karto,circular,0.05,0.2,0.9,1,28.27732744684198,648380322.9505568,928361.678652002,3713400,40.70029673590504,3033,486,16.023738872403563,3,55
run_20,DONE,cartographer,circular,0.1,1.0,0.0174,1,46.02543345357145,687964766.0589255,953977.3638774627,5652800,72.1103448275862,1015,422,41.576354679802954,3,47
run_21,DONE,hector,circular,0.05,0.2,0.0174,1,28.877058330726033,778619663.8362262,933231.5557445426,3720896,50.57488921713442,3385,674,19.911373707533233,63,91
run_22,DONE,karto,point_to_point,0.05,1.0,0.9,1,29.644588471912755,651601155.1219512,813906.3070922953,3164760,38.53227699530517,3408,517,15.170187793427232,2,40
run_23,DONE,hector,circular,0.05,1.0,0.9,1,31.470735371060947,778859299.8711923,932440.525007852,3727696,42.993502274204026,3078,521,16.926575698505523,14,107
run_24,DONE,cartographer,circular,0.05,1.0,0.0174,1,45.40145141241327,690274937.4294996,954409.7120857469,5714576,54.68679245283019,3710,1205,32.47978436657682,3,43
run_25,DONE,cartographer,circular,0.05,0.2,0.9,1,44.97696004819922,687938283.5978284,945966.9119286257,5481816,98.12421777221527,3196,1005,31.44555694618273,6,85
run_26,DONE,gmapping,point_to_point,0.1,1.0,0.9,1,33.33722665152269,653078487.956779,798729.6301615135,3015536,63.986856516977,913,230,25.191675794085434,1,41
run_27,DONE,cartographer,circular,0.1,1.0,0.9,1,45.79681159079463,688155691.0924077,948951.9423479346,5639416,122.63916256157636,812,250,30.78817733990148,3,44
run_28,DONE,karto,circular,0.1,0.2,0.0174,1,32.272539495600775,656571440.4585648,925143.8668530785,3551648,77.90129259694477,851,261,30.669800235017625,3,53
run_29,DONE,cartographer,point_to_point,0.05,1.0,0.0174,1,48.063760903663464,690643557.4657881,812992.4910571935,4663888,50.08872219348164,3866,1094,28.297982410760476,1,40
run_30,DONE,karto,point_to_point,0.1,1.0,0.9,1,31.765953092157048,653018600.5137615,797482.4884431252,3157448,64.2102908277405,894,226,25.279642058165546,1,46
run_31,DONE,cartographer,circular,0.1,0.2,0.9,1,42.41567930976072,690669670.5567461,948246.1730822593,5704472,105.57553956834532,834,267,32.014388489208635,3,52
run_32,DONE,cartographer,circular,0.05,1.0,0.9,1,42.44985808337238,690686941.7247866,948397.6291489131,5673312,118.62413139608338,3166,885,27.953253316487682,20,88
run_33,DONE,hector,circular,0.1,1.0,0.9,1,28.839810890218374,779506388.0171133,935172.3506093929,3721328,73.90220048899755,818,238,29.095354523227385,4,57
run_34,DONE,gmapping,circular,0.1,0.2,0.0174,1,44.033966306566896,656246395.5014191,968350.4249615051,3813872,74.61981566820276,868,255,29.377880184331794,6,59
run_35,DONE,karto,circular,0.05,1.0,0.0174,1,29.33742477180329,657082471.7482705,935576.1357688764,3700680,51.46036778693722,3154,639,20.25998731769182,3,47
run_36,DONE,gmapping,circular,0.1,1.0,0.0174,1,43.7687526108966,656121619.3144352,969756.4485285677,3796584,71.54082840236687,845,238,28.165680473372777,5,52
run_37,DONE,hector,point_to_point,0.05,1.0,0.0174,1,28.51810925035118,784718603.7382793,808701.7360493054,3228024,49.48957189901208,3644,710,19.484083424807906,33,52
run_38,DONE,cartographer,circular,0.1,0.2,0.0174,1,45.90675495929805,692678990.3130548,956382.9508676591,5732712,71.86805555555556,1008,417,41.36904761904761,3,41
run_39,DONE,cartographer,point_to_point,0.05,1.0,0.0174,2,44.97562465062747,691373767.992008,827080.9319767804,4926560,50.295018162947585,3854,1090,28.28230409963674,1,39
run_40,DONE,gmapping,circular,0.05,1.0,0.0174,1,43.398078945520474,657192422.1820563,966499.925321239,3826640,50.201982651796776,3228,638,19.764560099132588,21,50
run_41,DONE,karto,circular,0.1,0.2,0.9,1,27.18892687935892,650563725.5625284,921365.1404859772,3663800,64.06052963430012,793,200,25.220680958385877,2,41
run_42,DONE,gmapping,circular,0.05,1.0,0.9,1,30.81615320246824,656406734.4225353,934937.2419667172,3703912,40.66318878382784,3067,491,16.009129442451908,9,57
run_43,DONE,gmapping,point_to_point,0.05,1.0,0.0174,1,55.44497439813614,656405376.0,787602.6965069859,2410496,47.50381679389313,3668,686,18.702290076335878,15,87
run_44,DONE,karto,circular,0.05,0.2,0.0174,1,32.973724213640544,653647062.5841478,937286.1241965976,3711368,49.51188589540412,3155,615,19.492868462757528,6,45
run_45,DONE,hector,circular,0.05,0.2,0.9,1,29.566154180032825,778856450.2490666,933847.8733170864,3784528,42.56615981882886,3091,518,16.758330637334197,10,67
run_46,DONE,gmapping,point_to_point,0.1,0.2,0.0174,2,40.358808675118006,651752631.5032811,843775.7515657672,3474808,70.19831223628692,948,262,27.637130801687764,3,75
run_47,DONE,karto,point_to_point,0.1,0.2,0.0174,1,28.235511249314513,652506282.2731233,810086.1525921291,3258040,74.22077922077922,924,270,29.22077922077922,1,48
run_48,DONE,gmapping,point_to_point,0.1,0.2,0.9,1,33.06547017044438,652284679.5065722,819192.868812234,3324240,69.14898177920686,933,254,27.224008574490888,1,43
run_49,DONE,cartographer,circular,0.05,0.2,0.0174,1,44.23875325312989,690435961.6540378,958946.6857878508,5866560,51.96829335539013,3627,1164,32.09263854425144,3,42
run_50,DONE,karto,circular,0.05,0.2,0.0174,2,29.360088461143537,654414615.1390054,939264.4247980481,3763784,51.41243654822335,3152,638,20.241116751269036,3,37
run_51,DONE,cartographer,circular,0.05,0.2,0.9,2,41.090301890465305,688824926.9793881,959414.4236350849,5879032,97.76764522173642,3202,1003,31.32417239225484,3,80
run_52,DONE,cartographer,point_to_point,0.05,1.0,0.9,2,42.7546683205287,687737633.6135796,828588.2366020085,5096496,120.24097788125728,3436,726,21.129220023282887,5,60
run_53,DONE,karto,point_to_point,0.1,1.0,0.0174,1,29.137217714311646,652902169.7577003,811981.7363822445,3277944,67.82637362637362,910,243,26.703296703296704,1,49
run_54,DONE,gmapping,circular,0.05,1.0,0.0174,2,43.722321180125164,659023131.764399,984741.4411358588,4016936,47.693978895096215,3222,605,18.77715704531347,21,66
run_55,DONE,cartographer,circular,0.05,0.2,0.9,3,42.076866809487534,688990306.8322874,958444.6513580314,5878792,96.99557801642452,3166,917,28.96399241945673,3,75
run_56,DONE,gmapping,circular,0.05,1.0,0.9,2,31.14715355450562,657572905.5745808,940220.9759062296,3797448,40.5734860883797,3055,488,15.973813420621932,8,59
run_57,DONE,karto,circular,0.05,1.0,0.9,3,26.678822541306268,650397993.5491381,929285.6856570592,3769040,40.37817938420348,2988,475,15.896921017402946,5,59
run_58,DONE,cartographer,circular,0.05,0.2,0.0174,2,44.237473235920575,691036434.7209,957031.7233765954,5879072,56.72341513292434,3912,1431,36.579754601226995,3,43
run_59,DONE,gmapping,point_to_point,0.1,1.0,0.9,2,31.259798477518768,653444074.8493702,810305.6337313994,3297984,65.23497267759562,915,235,25.683060109289617,1,58
run_60,DONE,hector,circular,0.05,0.2,0.9,2,27.666088933944703,785033269.703111,930966.2157652536,3807104,40.75311067452521,3054,490,16.0445317616241,6,55
run_61,DONE,hector,circular,0.05,1.0,0.0174,1,28.835566910243703,778696693.548702,925266.0565500407,3800872,52.064074650077764,3215,659,20.497667185069986,33,55
run_62,DONE,gmapping,point_to_point,0.05,0.2,0.0174,1,47.64138710659984,649101903.7356036,855046.1859820981,3581320,50.66120218579235,3660,730,19.94535519125683,18,53
run_63,DONE,hector,point_to_point,0.1,1.0,0.9,1,30.76335446189289,774093591.6157559,807635.4962999251,3305688,65.86245772266065,887,230,25.93010146561443,1,47
run_64,DONE,hector,point_to_point,0.05,1.0,0.0174,2,27.783033936175478,773129995.0390142,804617.4323301286,3307600,49.314206128133705,3590,697,19.415041782729805,11,64
run_65,DONE,karto,circular,0.05,0.2,0.0174,3,30.436226510736972,651852891.1485016,936957.1057897876,3800856,58.29734129137276,3686,846,22.951709169831798,18,96
run_66,DONE,gmapping,circular,0.05,0.2,0.0174,3,49.08720166957301,652847523.3735358,986023.3209190976,4117944,47.39863608183509,3226,602,18.66088034717917,19,74
run_67,DONE,cartographer,circular,0.1,0.2,0.9,2,41.18320016887802,683612798.0324745,951068.7453202876,5914352,115.36753100338218,887,397,44.7576099210823,3,63
run_68,DONE,karto,point_to_point,0.1,0.2,0.9,1,26.554517123265306,648369522.8367612,807513.9276902805,3277008,69.47729789590255,903,247,27.353266888150607,1,40
run_69,DONE,hector,point_to_point,0.1,0.2,0.9,1,28.233042617893762,779309433.2355052,811516.7313806671,3326504,67.13656387665198,908,240,26.431718061674008,2,42
run_70,DONE,hector,circular,0.05,0.2,0.9,3,30.23481217599455,779027480.9646387,938311.6448412552,3824320,45.023134571521666,3069,544,17.725643532095145,12,59
